,trade_date,ts_code,name_x,industry_x,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date_x,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num,open,high,low,close,pre_close,change,pct_chg,vol,amount,symbol,name_y,industry_y,list_date_y
144,20250514,000570.SZ,苏常柴Ａ,农用机械,江苏,22.44,5.56,7.06,55.67,34.7,5.96,6.41,0.91,0.06,4.81,1.16,19940701,10.27,1.46,7.33,35.01,13.52,5.08,53119,5.55,5.58,5.51,5.56,5.57,-0.01,-0.1795,82530.0,45739.423,000570,苏常柴A,农用机械,19940701
145,20250514,000571.SZ,新大洲A,煤炭开采,海南,0.0,8.14,8.39,24.82,5.97,10.49,6.63,0.79,-0.04,0.23,19.91,19940525,-13.87,-1.65,-56.92,-99.53,23.4,-49.79,46980,4.76,4.78,4.54,4.66,4.74,-0.08,-1.6878,238273.94,110573.185,000571,新大洲A,煤炭开采,19940525
146,20250514,000572.SZ,海马汽车,汽车整车,海南,0.0,16.42,16.45,52.62,28.82,12.05,37.68,2.29,-0.02,1.05,3.67,19940808,-38.52,-2.34,-37.89,65.08,12.17,-18.16,98979,3.85,3.87,3.81,3.85,3.87,-0.02,-0.5168,208014.74,79822.443,000572,海马汽车,汽车整车,19940808
147,20250514,000573.SZ,粤宏远Ａ,区域地产,广东,6.22,6.33,6.38,23.88,17.84,0.48,5.41,0.85,0.18,2.66,1.65,19940815,2.62,0.41,14.73,721.81,5.35,89.68,55739,4.29,4.49,4.26,4.4,4.28,0.12,2.8037,447323.12,196312.077,000573,粤宏远A,区域地产,19940815
148,20250514,000576.SZ,甘化科工,电气设备,广东,150.71,4.34,4.36,18.44,9.16,0.56,7.09,1.63,0.02,3.71,2.71,19940907,3.7,0.85,23.76,-47.25,39.63,9.49,31640,10.02,10.07,10.02,10.07,9.15,0.92,10.0546,276012.01,277702.076,000576,甘化科工,电气设备,19940907
149,20250514,000581.SZ,威孚高科,汽车配件,江苏,14.73,8.24,9.97,289.82,135.33,44.15,32.64,3.27,0.36,20.29,1.03,19980924,158.78,15.93,-2.38,-35.46,17.67,12.92,65913,21.02,21.33,20.72,20.95,21.01,-0.06,-0.2856,292400.94,612981.808,000581,威孚高科,汽车配件,19980924
150,20250514,000582.SZ,北部湾港,港口,广西,27.25,18.1,23.26,362.61,55.25,249.45,74.48,3.2,0.09,7.76,1.18,19951102,73.19,3.15,6.73,-49.87,29.74,13.4,37861,8.89,9.25,8.77,9.19,8.97,0.22,2.4526,1257778.71,1138102.098,000582,北部湾港,港口,19951102
151,20250514,000586.SZ,汇源通信,通信设备,四川,190.54,1.93,1.93,5.56,4.68,0.56,0.65,0.33,0.01,1.69,6.0,19951220,0.5,0.26,42.85,228.57,34.01,3.29,18952,10.15,10.24,10.07,10.13,10.13,0.0,0.0,32681.76,33132.987,000586,汇源通信,通信设备,19951220
152,20250514,000589.SZ,贵州轮胎,汽车配件,贵州,27.05,15.38,15.55,180.01,85.64,64.79,39.97,2.57,0.04,5.68,0.81,19960308,30.1,1.94,3.6,-68.13,14.19,2.65,65109,4.6,4.61,4.55,4.6,4.59,0.01,0.2179,140904.2,64548.173,000589,贵州轮胎,汽车配件,19960308
153,20250514,000590.SZ,启迪药业,中成药,湖南,0.0,2.39,2.39,10.22,5.14,2.94,4.74,1.98,-0.07,2.43,3.7,19960119,-1.77,-0.74,-15.4,-96.23,47.45,-24.93,15676,9.1,9.17,8.9,8.99,9.09,-0.1,-1.1001,41586.0,37413.264,000590,启迪药业,中成药,19960119
